VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,trip_duration_min
2,2024-01-20 13:19:25,2024-01-20 13:36:32,1.0,0.96,1.0,N,163,230,2,15.6,0.0,0.5,0.0,0.0,1.0,19.6,2.5,0.0,17.116666666666667
1,2024-01-13 13:38:28,2024-01-13 13:47:21,1.0,1.2,1.0,N,107,68,1,7.9,2.5,0.5,2.4,0.0,1.0,14.3,2.5,0.0,8.883333333333333
2,2024-01-20 01:54:36,2024-01-20 01:58:27,1.0,0.45,1.0,N,125,144,1,5.8,1.0,0.5,1.62,0.0,1.0,12.42,2.5,0.0,3.850000000000001
1,2024-01-18 17:15:32,2024-01-18 17:25:11,1.0,0.7,1.0,N,162,107,1,7.9,5.0,0.5,0.0,0.0,1.0,14.4,2.5,0.0,9.65
2,2024-01-14 22:30:18,2024-01-14 22:41:27,3.0,1.96,1.0,N,107,230,2,12.8,1.0,0.5,0.0,0.0,1.0,17.8,2.5,0.0,11.15
1,2024-01-22 07:45:00,2024-01-22 08:00:57,,3.1,,,114,162,0,19.07,0.0,0.5,0.0,0.0,1.0,23.07,,,15.95
2,2024-01-24 10:44:03,2024-01-24 10:51:38,4.0,0.97,1.0,N,237,236,1,8.6,0.0,0.5,2.52,0.0,1.0,15.12,2.5,0.0,7.583333333333333
2,2024-01-14 08:12:12,2024-01-14 08:22:26,1.0,2.8,1.0,N,164,261,1,14.9,0.0,0.5,3.78,0.0,1.0,22.68,2.5,0.0,10.233333333333333
2,2024-01-01 16:22:59,2024-01-01 17:18:15,1.0,18.96,2.0,N,132,48,1,70.0,0.0,0.5,5.0,6.94,1.0,87.69,2.5,1.75,55.266666666666666
1,2024-01-30 09:22:49,2024-01-30 10:10:29,,7.6,,,138,170,0,42.9,6.75,0.5,9.08,6.94,1.0,69.67,,,47.66666666666666
2,2024-01-13 17:11:18,2024-01-13 17:18:25,1.0,0.64,1.0,N,230,230,1,7.9,0.0,0.5,2.38,0.0,1.0,14.28,2.5,0.0,7.116666666666666
2,2024-01-08 16:39:19,2024-01-08 16:52:18,2.0,1.87,1.0,N,186,224,1,12.8,2.5,0.5,3.89,0.0,1.0,23.19,2.5,0.0,12.983333333333333
1,2024-01-10 00:28:25,2024-01-10 00:33:55,2.0,1.1,1.0,N,48,164,1,7.9,3.5,0.5,2.55,0.0,1.0,15.45,2.5,0.0,5.5
2,2024-01-29 20:38:36,2024-01-29 20:51:07,1.0,1.53,1.0,N,148,158,1,12.8,1.0,0.5,4.45,0.0,1.0,22.25,2.5,0.0,12.516666666666667
2,2024-01-16 23:14:08,2024-01-16 23:20:48,2.0,1.62,1.0,N,186,249,1,9.3,1.0,0.5,1.0,0.0,1.0,15.3,2.5,0.0,6.666666666666667
